Species	Temp	Pre_wavelength	Pre_mean_emission	Pre_se_emission	Post_wavelength	Post_mean_emission	Post_se_emission	Relative_emission	Condition
AcroB	28	581.999	6.1211111	0.56503018	581.999	3.6944444	0.04183841	-2.4266667	LL
AcroB	34	581.999	4.5955556	0.32142721	581.999	3.7411111	0.2429656	-0.8544445	LL
AcroB	37	581.999	3.7	0.41430983	581.999	10.1833333	0.16883887	6.4833333	LL
AcroB	40	581.999	4.1933333	0.66638778	581.999	7.3988889	0.19242986	3.2055556	LL
AcroB	28	604.656	7.4	0.61516356	604.656	4.65	0.04645095	-2.75	LL
AcroB	34	604.656	5.5588889	0.32404753	604.656	4.6444444	0.31086274	-0.9144445	LL
AcroB	37	604.656	4.6233333	0.51624079	604.656	10.2333333	0.18521788	5.61	LL
AcroB	40	604.656	5.0544444	0.779471	604.656	7.3755556	0.18099173	2.3211112	LL
AcroB	28	649.746	4.0277778	0.45788577	649.746	2.5322222	0.04557867	-1.4955556	LL
AcroB	34	649.746	2.9722222	0.20308255	649.746	2.6933333	0.25260893	-0.2788889	LL
AcroB	37	649.746	2.4955556	0.26880367	649.746	7.44	0.12528064	4.9444444	LL
AcroB	40	649.746	2.7755556	0.51377107	649.746	5.2611111	0.16458533	2.4855555	LL
AcroB	28	667.984	2.0766667	0.26744794	667.984	1.3577778	0.03657109	-0.7188889	LL
AcroB	34	667.984	1.53	0.1068371	667.984	1.5322222	0.18449072	0.0022222	LL
AcroB	37	667.984	1.3788889	0.14616043	667.984	4.9433333	0.09451088	3.5644444	LL
AcroB	40	667.984	1.5166667	0.30540404	667.984	3.6355556	0.11762409	2.1188889	LL
MontiG	28	484.998	5.3033333	0.067290065	484.998	5.0844444	0.60305117	-0.2188889	HL
MontiG	34	484.998	4.9422222	0.097707643	484.998	5.9733333	0.118754225	1.0311111	HL
MontiG	37	484.998	4.9344444	0.052919276	484.998	3.5366667	0.06834213	-1.3977777	HL
MontiG	40	484.998	4.7077778	0.09973923	484.998	2.2366667	0.065965744	-2.4711111	HL
MontiG	28	572.879	4	0.019607059	572.879	5.4555556	0.590007576	1.4555556	HL
MontiG	34	572.879	3.65	0.11169517	572.879	7.46	0.120864481	3.81	HL
MontiG	37	572.879	4.7477778	0.017669892	572.879	11.1344444	0.126225302	6.3866666	HL
MontiG	40	572.879	4.0266667	0.043113818	572.879	8.86	0.046244591	4.8333333	HL
MontiG	28	604.656	4.1377778	0.020595171	604.656	5.6688889	0.598943419	1.5311111	HL
MontiG	34	604.656	3.7522222	0.118768133	604.656	7.77	0.123520636	4.0177778	HL
MontiG	37	604.656	4.9255556	0.016585181	604.656	10.2455556	0.103895761	5.32	HL
MontiG	40	604.656	4.1577778	0.037160844	604.656	8.37	0.050678132	4.2122222	HL
MontiG	28	649.746	1.64	0.022725283	649.746	2.5066667	0.223104038	0.8666667	HL
MontiG	34	649.746	1.4744444	0.037914782	649.746	3.6322222	0.05180226	2.1577778	HL
MontiG	37	649.746	2.1222222	0.03150715	649.746	5.8766667	0.085121241	3.7544445	HL
MontiG	40	649.746	1.6722222	0.027516952	649.746	4.5933333	0.041864729	2.9211111	HL
MontiG	28	662.388	0.9122222	0.035337213	662.388	1.51	0.129687204	0.5977778	HL
MontiG	34	662.388	0.8688889	0.039946618	662.388	2.1255556	0.046088111	1.2566667	HL
MontiG	37	662.388	1.3022222	0.038407943	662.388	3.5666667	0.039632905	2.2644445	HL
MontiG	40	662.388	0.9488889	0.034980898	662.388	2.8377778	0.04989598	1.8888889	HL
MontiB	28	585.721	1.83	0.165517545	585.721	2.57	0.161993546	0.74	HL
MontiB	34	585.721	2.2888889	0.021390336	585.721	8.4444444	0.67975185	6.1555555	HL
MontiB	37	585.721	1.8966667	0.030975895	585.721	6.9133333	0.152061051	5.0166666	HL
