wavelength,mean_emission,se_emission,Species,Temp
347.817,-29.31444444,4.827263537,MontiB,40
348.042,-28.09555556,6.16428232,MontiB,40
348.268,-20.85666667,4.891384205,MontiB,40
348.493,-14.89444444,3.945785052,MontiB,40
348.719,-12.01,3.332689092,MontiB,40
348.944,-3.035555556,2.47984514,MontiB,40
349.17,6.095555556,1.680062734,MontiB,40
349.395,16.91222222,2.246273111,MontiB,40
349.621,30.51,2.47924976,MontiB,40
349.846,30.06444444,2.616810435,MontiB,40
350.071,29.62888889,1.8850926,MontiB,40
350.297,30.72444444,2.628170111,MontiB,40
350.522,31.64111111,3.79840194,MontiB,40
350.747,27.6,4.200237461,MontiB,40
350.973,24.50888889,4.362541482,MontiB,40
351.198,22.58444444,4.270566778,MontiB,40
351.423,18.66222222,4.375959913,MontiB,40
351.649,21.43888889,3.750968635,MontiB,40
351.874,25.33111111,4.972507317,MontiB,40
352.099,24.19666667,4.564922068,MontiB,40
352.324,25.87666667,3.75409348,MontiB,40
352.55,22.71777778,2.287586656,MontiB,40
352.775,23.56,2.323307235,MontiB,40
353,23.89333333,2.975187545,MontiB,40
353.225,32.32111111,4.494277726,MontiB,40
353.45,30.34111111,3.382557748,MontiB,40
353.675,36.16444444,3.565625117,MontiB,40
353.9,47.02,3.889145158,MontiB,40
354.125,39.64777778,4.456952929,MontiB,40
354.351,34.75888889,4.146496202,MontiB,40
354.576,36.76666667,4.429448823,MontiB,40
354.801,35.92888889,5.108668761,MontiB,40
355.026,40.19111111,4.850939735,MontiB,40
355.251,38.72222222,4.602448433,MontiB,40
355.476,39.10444444,4.444604299,MontiB,40
355.701,32.17333333,4.114714585,MontiB,40
355.926,33.92444444,4.57629596,MontiB,40
356.15,32.75888889,5.144111191,MontiB,40
356.375,26.35,4.310629479,MontiB,40
356.6,33.32,4.741026193,MontiB,40
356.825,37.62333333,4.491086111,MontiB,40
357.05,30.82222222,4.176173192,MontiB,40
357.275,30.60555556,4.383384974,MontiB,40
357.5,26.38555556,4.37591185,MontiB,40
357.724,24.26666667,4.213321255,MontiB,40
357.949,26.31,4.464746091,MontiB,40
358.174,23.44333333,4.420629285,MontiB,40
358.399,26.04,4.532574392,MontiB,40
358.624,22.03,5.530969307,MontiB,40
358.848,20.12444444,6.099371545,MontiB,40
359.073,18.48888889,5.305448564,MontiB,40
359.298,12.20444444,5.767611694,MontiB,40
359.522,14.32333333,6.286494516,MontiB,40
359.747,13.23111111,5.786527303,MontiB,40
359.972,10.07,4.445135845,MontiB,40
360.196,15.41666667,5.05790071,MontiB,40
360.421,13.54444444,4.622611383,MontiB,40
360.645,16.94444444,4.518878399,MontiB,40
360.87,16.33222222,4.787655624,MontiB,40
361.095,20.44,3.409259666,MontiB,40
361.319,17.55666667,4.516731289,MontiB,40
361.544,14.80555556,4.152633543,MontiB,40
361.768,20.69666667,3.141929594,MontiB,40
361.993,23.26222222,3.150680826,MontiB,40
362.217,22.76666667,3.472442963,MontiB,40
362.441,26.65222222,3.370878312,MontiB,40
362.666,25.58111111,3.744700062,MontiB,40
362.89,29.45888889,4.164344877,MontiB,40
363.115,23.07555556,3.634228033,MontiB,40
363.339,20.31777778,3.536432019,MontiB,40
363.563,17.54888889,3.613306582,MontiB,40
363.788,23.90666667,3.668509565,MontiB,40
364.012,22.96888889,2.709577686,MontiB,40
364.236,20.73888889,4.398493767,MontiB,40
364.461,22.99555556,3.761655391,MontiB,40
364.685,20.54888889,3.229694878,MontiB,40
364.909,21.03777778,3.255587935,MontiB,40
365.133,15.42444444,3.357992299,MontiB,40
365.358,12.35111111,3.532406297,MontiB,40
365.582,14.52777778,4.091180356,MontiB,40
365.806,19.67444444,4.81003796,MontiB,40
366.03,16.89222222,2.700428369,MontiB,40
366.254,13.13,2.239435063,MontiB,40
366.479,17.70555556,3.98957434,MontiB,40
366.703,14.59222222,4.100305615,MontiB,40
366.927,12.46555556,5.136866603,MontiB,40
367.151,12.95444444,3.950071811,MontiB,40
367.375,20.16,4.797792389,MontiB,40
367.599,18.68666667,4.70939276,MontiB,40
367.823,19.76666667,4.085861022,MontiB,40
368.047,21.91888889,4.950983623,MontiB,40
368.271,24.93888889,4.355569319,MontiB,40
368.495,32.69666667,5.266058144,MontiB,40
368.719,30.88111111,5.150736292,MontiB,40
368.943,27.40777778,5.03990632,MontiB,40
369.167,30.23,4.755528146,MontiB,40
369.391,29.34,4.64911411,MontiB,40
369.615,33.40888889,5.472588045,MontiB,40
369.839,26.43333333,5.367430406,MontiB,40
370.062,31.85555556,5.096536069,MontiB,40
370.286,27.39,5.14147878,MontiB,40
370.51,27.92555556,4.584509974,MontiB,40
370.734,26.43222222,5.757650082,MontiB,40
370.958,26.62666667,5.442630318,MontiB,40
371.181,29.40444444,5.652608873,MontiB,40
371.405,35.11777778,5.289082614,MontiB,40
371.629,31.27555556,4.464011939,MontiB,40
371.853,29.62666667,5.06164594,MontiB,40
372.076,23.14555556,5.800553855,MontiB,40
372.3,20.72777778,5.561444188,MontiB,40
372.524,18.84666667,5.037988476,MontiB,40
372.747,24.88666667,4.111505206,MontiB,40
372.971,26.02111111,4.751933277,MontiB,40
373.195,16.32444444,5.123482353,MontiB,40
373.418,13.59888889,5.320944063,MontiB,40
373.642,13.78111111,4.340748193,MontiB,40
373.865,16.31555556,4.18836957,MontiB,40
374.089,18.20111111,3.500813285,MontiB,40
