Label	PAM_light	Fm'	PAM_dark	Fm	CBASS_date	Species	Condition	Timepoint	Temp	Replicate		NPQ	QM	Species	Temp	NPQ_Mean	QM_Mean
20240911_Monti_Green_LL_420_34_3	0.36	2914	0.476	3417	20240911	Monti_Green	LL	420	34	3	20240911_Monti_Green_LL_420_34_3	0.172614962	0.147191707				
20240911_Monti_Green_LL_420_28_1	0.365	3394	0.422	3113	20240911	Monti_Green	LL	420	28	1	20240911_Monti_Green_LL_420_28_1	-0.082793164	-0.090297175				
20240911_Monti_Green_LL_420_28_2	0.372	3027	0.46	3230	20240911	Monti_Green	LL	420	28	2	20240911_Monti_Green_LL_420_28_2	0.067063099	0.062830001				
20240911_Monti_Green_LL_420_28_3	0.377	2915	0.461	3630	20240911	Monti_Green	LL	420	28	3	20240911_Monti_Green_LL_420_28_3	0.245283019	0.196971571				
20240911_Monti_Brown_LL_420_40_1	0.06	1752	0.01	1846	20240911	Monti_Brown	LL	420	40	1	20240911_Monti_Brown_LL_420_40_1	0.053652968	0.050948272				
20240911_Monti_Brown_LL_420_40_2	0.051	2058	0.003	2498	20240911	Monti_Brown	LL	420	40	2	20240911_Monti_Brown_LL_420_40_2	0.213799806	0.17616034				
20240911_Monti_Brown_LL_420_40_3	0.017	1971	0.002	1706	20240911	Monti_Brown	LL	420	40	3	20240911_Monti_Brown_LL_420_40_3	-0.134449518	-0.155325504				
20240911_Monti_Brown_LL_420_37_1	0.207	7286	0.363	1944	20240911	Monti_Brown	LL	420	37	1	20240911_Monti_Brown_LL_420_37_1	-0.733186934	-2.748535863				
20240911_Monti_Brown_LL_420_37_2	0.296	725	0.361	1492	20240911	Monti_Brown	LL	420	37	2	20240911_Monti_Brown_LL_420_37_2	1.057931034	0.514155905				
20240911_Monti_Brown_LL_420_37_3	0.333	864	0.401	1909	20240911	Monti_Brown	LL	420	37	3	20240911_Monti_Brown_LL_420_37_3	1.209490741	0.547486402				
20240911_Monti_Brown_LL_420_34_1	0.368	1484	0.569	3750	20240911	Monti_Brown	LL	420	34	1	20240911_Monti_Brown_LL_420_34_1	1.526954178	0.60430476				
20240911_Monti_Brown_LL_420_34_2	0.38	1506	0.59	3023	20240911	Monti_Brown	LL	420	34	2	20240911_Monti_Brown_LL_420_34_2	1.007304117	0.501847863				
20240911_Monti_Brown_LL_420_34_3	0.337	1488	0.604	3567	20240911	Monti_Brown	LL	420	34	3	20240911_Monti_Brown_LL_420_34_3	1.397177419	0.582866569				
20240911_Monti_Brown_LL_420_28_1	0.473	2740	0.642	3036	20240911	Monti_Brown	LL	420	28	1	20240911_Monti_Brown_LL_420_28_1	0.108029197	0.09746165				
20240911_Monti_Brown_LL_420_28_2	0.47	2591	0.572	3505	20240911	Monti_Brown	LL	420	28	2	20240911_Monti_Brown_LL_420_28_2	0.352759552	0.260783786				
20240911_Monti_Brown_LL_420_28_3	0.553	3015	0.601	2988	20240911	Monti_Brown	LL	420	28	3	20240911_Monti_Brown_LL_420_28_3	-0.008955224	-0.00905403				
