wavelength,mean_emission,se_emission,Species,Temp
347.817,-21.15222222,5.679607004,MontiB,37
348.042,-19.87333333,4.310103473,MontiB,37
348.268,-14.38222222,4.532777871,MontiB,37
348.493,-8.15,2.675315493,MontiB,37
348.719,-11.80111111,2.169219229,MontiB,37
348.944,-8.306666667,1.76328621,MontiB,37
349.17,5.581111111,2.120578079,MontiB,37
349.395,16.39,1.342872646,MontiB,37
349.621,26.88666667,1.684359095,MontiB,37
349.846,22.99222222,3.177080929,MontiB,37
350.071,22.28777778,4.01389889,MontiB,37
350.297,21.20777778,4.195788992,MontiB,37
350.522,23.04111111,3.972483769,MontiB,37
350.747,20.86333333,4.212298817,MontiB,37
350.973,13.38444444,3.121246861,MontiB,37
351.198,15.43444444,3.430498724,MontiB,37
351.423,15.62444444,3.710415806,MontiB,37
351.649,9.982222222,3.316357019,MontiB,37
351.874,13.88888889,4.349897822,MontiB,37
352.099,11.64888889,3.352945081,MontiB,37
352.324,19.72,3.356876626,MontiB,37
352.55,17.17222222,3.287070353,MontiB,37
352.775,20.35,3.175277346,MontiB,37
353,22.32666667,3.304922895,MontiB,37
353.225,26.05777778,3.626600427,MontiB,37
353.45,33.56222222,3.968926721,MontiB,37
353.675,37.43555556,5.041029813,MontiB,37
353.9,44.56888889,5.984258431,MontiB,37
354.125,47.25666667,5.050280229,MontiB,37
354.351,40.42888889,6.22628813,MontiB,37
354.576,39.89666667,5.352235278,MontiB,37
354.801,37.10777778,5.535693932,MontiB,37
355.026,42.05666667,6.456426397,MontiB,37
355.251,43.83777778,6.598629525,MontiB,37
355.476,42.07444444,6.320315132,MontiB,37
355.701,45.56777778,5.882188189,MontiB,37
355.926,42.81777778,6.505605063,MontiB,37
356.15,49.90222222,6.532243395,MontiB,37
356.375,46.70666667,6.606789396,MontiB,37
356.6,48.16666667,7.352405252,MontiB,37
356.825,52.71222222,7.017731605,MontiB,37
357.05,49.36222222,7.085975984,MontiB,37
357.275,41.99444444,6.14497163,MontiB,37
357.5,40.03888889,5.240516859,MontiB,37
357.724,39.34444444,4.698758964,MontiB,37
357.949,42.38555556,3.564290353,MontiB,37
358.174,35.44444444,4.629468453,MontiB,37
358.399,39.37444444,4.787937538,MontiB,37
358.624,36.84555556,4.300861987,MontiB,37
358.848,36.21333333,4.792681487,MontiB,37
359.073,36.59111111,4.417946534,MontiB,37
359.298,32.25888889,4.226376763,MontiB,37
359.522,36.34444444,4.607801529,MontiB,37
359.747,35.26333333,4.702988069,MontiB,37
359.972,35.11777778,3.859808788,MontiB,37
360.196,36.47111111,4.444021842,MontiB,37
360.421,31.24444444,5.344958511,MontiB,37
360.645,36.36111111,5.252932639,MontiB,37
360.87,38.35333333,4.849360375,MontiB,37
361.095,33.97111111,4.611122882,MontiB,37
361.319,33.45,5.582946862,MontiB,37
361.544,29.51444444,5.028533453,MontiB,37
361.768,32.55444444,5.274007475,MontiB,37
361.993,34.67222222,4.715960157,MontiB,37
362.217,38.08222222,4.373130981,MontiB,37
362.441,35.56333333,3.964174333,MontiB,37
