wavelength,mean_emission,se_emission,Species,Temp
347.817,7.542222222,3.285471662,AcroG,28
348.042,3.5,1.851017001,AcroG,28
348.268,4.446666667,1.148430481,AcroG,28
348.493,4.926666667,2.171291596,AcroG,28
348.719,-0.731111111,1.932391936,AcroG,28
348.944,-2.504444444,2.112772499,AcroG,28
349.17,1.071111111,2.273928176,AcroG,28
349.395,0.842222222,1.806898065,AcroG,28
349.621,2.433333333,2.27984867,AcroG,28
349.846,-2.397777778,2.671001439,AcroG,28
350.071,-2.036666667,1.97504801,AcroG,28
350.297,-6.525555556,1.847347935,AcroG,28
350.522,-4.756666667,2.440099022,AcroG,28
350.747,-4.417777778,3.278582811,AcroG,28
350.973,-7.688888889,3.1081019,AcroG,28
351.198,-7.624444444,3.074246354,AcroG,28
351.423,-5.702222222,4.034921367,AcroG,28
351.649,-10.62444444,4.326290227,AcroG,28
351.874,-9.491111111,5.359642627,AcroG,28
352.099,-9.097777778,4.996040805,AcroG,28
352.324,-5.295555556,3.535482813,AcroG,28
352.55,-5.806666667,3.285700202,AcroG,28
352.775,-0.9,2.281749912,AcroG,28
353,1.655555556,2.714683542,AcroG,28
353.225,2.016666667,3.256514491,AcroG,28
353.45,6.357777778,4.681218433,AcroG,28
353.675,12.31888889,5.424820797,AcroG,28
353.9,9.896666667,5.016843579,AcroG,28
354.125,12.90222222,6.038770999,AcroG,28
354.351,10.78888889,5.951911028,AcroG,28
354.576,9.956666667,6.956939851,AcroG,28
354.801,9.923333333,6.989263999,AcroG,28
355.026,14.17,6.376319,AcroG,28
355.251,13.40777778,5.554738201,AcroG,28
355.476,8.005555556,5.609734911,AcroG,28
355.701,10.59777778,6.200007565,AcroG,28
355.926,7.496666667,6.795298416,AcroG,28
356.15,8.67,5.14249184,AcroG,28
356.375,11.01,4.942176805,AcroG,28
356.6,13.60444444,3.934123976,AcroG,28
356.825,14.62666667,4.721440712,AcroG,28
357.05,10.53333333,5.141086008,AcroG,28
357.275,5.143333333,5.287178695,AcroG,28
357.5,5.028888889,5.084549662,AcroG,28
357.724,7.095555556,3.855231998,AcroG,28
357.949,13.22111111,2.363239878,AcroG,28
358.174,8.295555556,2.717820686,AcroG,28
358.399,9.144444444,2.656553241,AcroG,28
358.624,10.93,3.984323929,AcroG,28
358.848,9.094444444,4.491792412,AcroG,28
359.073,8.646666667,4.015983526,AcroG,28
359.298,5.335555556,4.449203802,AcroG,28
359.522,9.893333333,3.206218093,AcroG,28
359.747,7.39,2.86882287,AcroG,28
359.972,6.055555556,2.71804862,AcroG,28
360.196,5.265555556,2.996882532,AcroG,28
360.421,2.005555556,3.501383542,AcroG,28
360.645,4.332222222,2.528997251,AcroG,28
360.87,6.8,2.698298026,AcroG,28
361.095,-2.143333333,3.283113536,AcroG,28
361.319,-3.571111111,2.519144218,AcroG,28
361.544,-5.202222222,3.750933463,AcroG,28
361.768,-2.327777778,4.28328485,AcroG,28
361.993,-1.056666667,4.774682561,AcroG,28
362.217,3.317777778,5.953091392,AcroG,28
362.441,-2.083333333,5.631834121,AcroG,28
362.666,-5.87,4.917452958,AcroG,28
362.89,-8.136666667,5.083487284,AcroG,28
363.115,-10.12555556,3.897561015,AcroG,28
363.339,-8.702222222,3.436238437,AcroG,28
363.563,-6.26,2.957585539,AcroG,28
363.788,-4.806666667,4.177728964,AcroG,28
364.012,-6.757777778,3.103807529,AcroG,28
364.236,-10.09666667,3.479502383,AcroG,28
364.461,-9.967777778,3.811223228,AcroG,28
364.685,-9.602222222,4.620480474,AcroG,28
364.909,-9.766666667,3.424837791,AcroG,28
365.133,-8.655555556,4.061122376,AcroG,28
