wavelength,mean_emission,se_emission,Species,Temp
347.817,-24.55666667,2.816391453,AcroB,40
348.042,-23.44888889,1.782072162,AcroB,40
348.268,-17.63333333,1.490711128,AcroB,40
348.493,-12.17333333,1.810974328,AcroB,40
348.719,-15.87333333,1.616020991,AcroB,40
348.944,-7.992222222,2.78475644,AcroB,40
349.17,8.51,2.936577419,AcroB,40
349.395,18.35111111,1.924826454,AcroB,40
349.621,30.48222222,1.729426926,AcroB,40
349.846,28.25444444,2.166523031,AcroB,40
350.071,28.42666667,1.587581316,AcroB,40
350.297,26.86,3.203990493,AcroB,40
350.522,28.54222222,3.227442258,AcroB,40
350.747,27.66666667,2.892553861,AcroB,40
350.973,21.47888889,3.36750438,AcroB,40
351.198,21.57444444,3.923012886,AcroB,40
351.423,20.74222222,4.274274358,AcroB,40
351.649,14.05888889,3.869201331,AcroB,40
351.874,18.87777778,4.106501193,AcroB,40
352.099,15.95666667,4.42584008,AcroB,40
352.324,22.25111111,4.408270397,AcroB,40
352.55,19.43777778,4.856119686,AcroB,40
352.775,21.45111111,4.498136805,AcroB,40
353,24.94555556,4.184904444,AcroB,40
353.225,29.08444444,4.863687621,AcroB,40
353.45,36.61777778,5.702786709,AcroB,40
353.675,43.71777778,5.411202396,AcroB,40
353.9,49.64333333,5.537637768,AcroB,40
354.125,53.94333333,6.011904495,AcroB,40
354.351,47.19222222,5.563464716,AcroB,40
354.576,47.02111111,5.143327441,AcroB,40
354.801,44.04333333,5.678577333,AcroB,40
355.026,50.16,4.822227533,AcroB,40
355.251,52.70111111,5.476726396,AcroB,40
355.476,48.34111111,5.338023738,AcroB,40
355.701,51.19444444,4.379742571,AcroB,40
355.926,47.23111111,4.148172185,AcroB,40
356.15,50.66333333,3.015016259,AcroB,40
356.375,49.54222222,3.973768885,AcroB,40
356.6,50.49,4.422164381,AcroB,40
356.825,54.08777778,5.144277244,AcroB,40
357.05,51.20222222,5.148352099,AcroB,40
357.275,42.89777778,4.26919975,AcroB,40
357.5,39.44,3.891580764,AcroB,40
357.724,39.55111111,4.175111332,AcroB,40
357.949,44.28666667,5.103316063,AcroB,40
358.174,35.98777778,5.194283498,AcroB,40
358.399,41.47111111,5.475335042,AcroB,40
358.624,43.12777778,6.056276055,AcroB,40
358.848,40.53222222,6.685084031,AcroB,40
359.073,40.03444444,6.261585026,AcroB,40
359.298,37.02888889,7.653200277,AcroB,40
359.522,40.31333333,6.739766716,AcroB,40
359.747,39.44555556,6.733294054,AcroB,40
359.972,39.27555556,5.756385951,AcroB,40
360.196,40.25444444,4.926381005,AcroB,40
360.421,35.08888889,5.258990681,AcroB,40
360.645,42.25111111,4.006675423,AcroB,40
360.87,44.04111111,3.982766754,AcroB,40
