wavelength,mean_emission,se_emission,Species,Temp
347.817,-14.57333333,1.492486999,MontiG,34
348.042,-14.58333333,1.457483548,MontiG,34
348.268,-11.07333333,2.178663883,MontiG,34
348.493,-7.146666667,2.035164115,MontiG,34
348.719,-12.58333333,2.051649928,MontiG,34
348.944,-8.453333333,1.274531287,MontiG,34
349.17,3.831111111,1.500711349,MontiG,34
349.395,9.93,1.92537534,MontiG,34
349.621,18.31222222,1.176485992,MontiG,34
349.846,14.17111111,1.026575816,MontiG,34
350.071,16.18111111,2.316038793,MontiG,34
350.297,13.97222222,2.537423307,MontiG,34
350.522,15.94555556,3.499997612,MontiG,34
350.747,15.70333333,2.877181831,MontiG,34
350.973,10.47111111,4.151520791,MontiG,34
351.198,12.04111111,5.227044995,MontiG,34
351.423,11.07222222,4.731262832,MontiG,34
351.649,5.104444444,5.525499403,MontiG,34
351.874,7.122222222,5.423037217,MontiG,34
352.099,6.366666667,7.195980092,MontiG,34
352.324,12.10222222,7.257417893,MontiG,34
352.55,9.684444444,7.337010996,MontiG,34
352.775,13.80666667,6.524354337,MontiG,34
353,16.03555556,6.613246459,MontiG,34
353.225,17.83,6.344005102,MontiG,34
353.45,23.85444444,6.110913248,MontiG,34
353.675,31.18333333,5.252446696,MontiG,34
353.9,34.21111111,4.816950875,MontiG,34
354.125,37.90444444,4.490736292,MontiG,34
354.351,34.59333333,4.966523053,MontiG,34
354.576,33.05666667,4.295322032,MontiG,34
354.801,31.63111111,3.742551404,MontiG,34
355.026,37.85333333,4.725065193,MontiG,34
355.251,40.09888889,4.022936895,MontiG,34
355.476,36.53666667,2.983256145,MontiG,34
355.701,39.65333333,3.721790093,MontiG,34
355.926,37.18444444,4.761534771,MontiG,34
356.15,38.19,4.89647168,MontiG,34
356.375,37.27333333,4.395124078,MontiG,34
356.6,37.07111111,4.810250949,MontiG,34
356.825,41.39666667,5.052538124,MontiG,34
357.05,38.82,4.615522317,MontiG,34
357.275,31.78444444,5.411269183,MontiG,34
357.5,29.17555556,6.02255022,MontiG,34
357.724,27.25666667,5.581791397,MontiG,34
357.949,31.69111111,3.217079283,MontiG,34
358.174,25.51555556,3.683283739,MontiG,34
358.399,29.44888889,2.521709498,MontiG,34
358.624,32.28333333,2.775770144,MontiG,34
358.848,30.96444444,2.168240009,MontiG,34
359.073,30.07,2.759201038,MontiG,34
359.298,24.24111111,3.624633536,MontiG,34
359.522,27.48333333,3.581022234,MontiG,34
359.747,24.95555556,3.773600568,MontiG,34
359.972,23.74,3.834876428,MontiG,34
360.196,26.08,3.972979612,MontiG,34
360.421,22.09888889,3.921585303,MontiG,34
360.645,27.09555556,4.942772779,MontiG,34
360.87,27.01555556,4.80610529,MontiG,34
361.095,19.11,4.983299235,MontiG,34
361.319,18.45222222,4.65381337,MontiG,34
361.544,16.76,4.956899884,MontiG,34
361.768,20.64111111,3.724053801,MontiG,34
361.993,21.37333333,4.968923334,MontiG,34
362.217,25.82,4.704364023,MontiG,34
362.441,23.19444444,4.769568256,MontiG,34
362.666,17.64222222,3.196520698,MontiG,34
362.89,19.14111111,3.452246986,MontiG,34
363.115,15.29555556,2.673175232,MontiG,34
363.339,17.40666667,4.267758531,MontiG,34
363.563,18.45666667,4.096076908,MontiG,34
363.788,23.33333333,4.217323786,MontiG,34
364.012,19.52444444,4.373075004,MontiG,34
364.236,14.27111111,4.309918473,MontiG,34
364.461,13.46666667,3.956486022,MontiG,34
364.685,15.92,4.083768663,MontiG,34
364.909,16.13111111,4.222859963,MontiG,34
365.133,15.91666667,5.347266463,MontiG,34
365.358,19.87555556,4.647882677,MontiG,34
365.582,21.19222222,3.425674705,MontiG,34
365.806,17.34666667,2.978727275,MontiG,34
366.03,17.09333333,2.793495782,MontiG,34
366.254,12.70555556,2.921528463,MontiG,34
366.479,20.05222222,2.871481734,MontiG,34
366.703,22.38333333,2.806138539,MontiG,34
366.927,25.02333333,2.818690811,MontiG,34
367.151,24.07888889,2.605760514,MontiG,34
367.375,26.27111111,4.607997672,MontiG,34
367.599,24.75666667,6.141771031,MontiG,34
367.823,22.16444444,6.414565784,MontiG,34
368.047,23.99222222,7.212390545,MontiG,34
368.271,25.93222222,6.836931702,MontiG,34
368.495,32.37666667,6.197967335,MontiG,34
