"wavelength","mean_emission","se_emission"
347.817,-10.1466666666667,3.49231642750915
348.042,-9.09222222222222,2.89772152581362
348.268,-7.13777777777778,3.24887357143816
348.493,-3.36333333333333,2.86994340071294
348.719,-1.70666666666667,1.83674501033744
348.944,5.35888888888889,1.37229593283899
349.17,5.30777777777778,2.04336532587148
349.395,4.73333333333333,1.55751975113294
349.621,5.80666666666667,1.78820344512316
349.846,5.98666666666667,1.67439237773158
350.071,5.75444444444444,2.41563123907957
350.297,8.18444444444443,1.08290272838816
350.522,10.2788888888889,1.6194404358035
350.747,13.4466666666667,1.82012075131179
350.973,15.4088888888889,2.61361851393093
351.198,13.0355555555555,3.14289231809323
351.423,13.1322222222222,2.1552535204634
351.649,12.3155555555556,3.87766211093884
351.874,14.1877777777778,3.13345659185679
352.099,15.7855555555556,3.32799112455309
352.324,18.8311111111111,4.89008471411974
352.55,16.73,5.04106292411463
352.775,18.1177777777778,4.46779677862853
353,15.4033333333333,5.36768445185012
353.225,11.8588888888889,6.60447442217183
353.45,3.77444444444445,6.12859380622029
353.675,5.56555555555556,5.1724210161435
353.9,2.36777777777778,6.81182488620408
354.125,0.455555555555557,5.19442974603669
354.351,1.26,5.90038618682176
354.576,-1.70888888888889,5.21653772228863
354.801,0.0666666666666667,3.77326006544897
355.026,2.1888888888889,3.99439254331091
355.251,-0.114444444444446,3.5088430584034
355.476,1.85,3.78948255688578
355.701,0.266666666666666,4.23273185224852
355.926,6.92555555555554,4.5411964054928
356.15,6.68111111111112,4.27397613577135
356.375,9.66111111111112,2.73595163289441
356.6,14.0888888888889,4.13136281249477
356.825,15.9944444444445,4.6628006411656
357.05,17.2433333333333,5.92099709776145
357.275,14.47,5.77238219119149
357.5,14.1244444444445,5.49185566647667
357.724,14.6666666666666,5.76191260943132
357.949,12.9088888888889,6.78660765092696
358.174,15.0388888888889,7.2308427878078
358.399,13.6411111111111,8.0125257521686
358.624,14.6744444444444,8.69008719686819
358.848,13.6166666666667,8.51313537164497
359.073,9.11,8.17306230227024
359.298,7.97555555555556,7.403769656128
359.522,10.6344444444445,7.05759772085777
359.747,8.47555555555555,6.68635106681785
359.972,12.4255555555555,7.52765730342213
360.196,11.1577777777778,7.32879681617594
360.421,13.7966666666667,8.54738957540874
360.645,12.0322222222222,9.6088863952016
360.87,15.8811111111111,8.46033848489351
361.095,13.4222222222222,8.24584461468217
361.319,12.5422222222222,9.23119007436004
361.544,14.8255555555556,8.64346506133662
361.768,12.3788888888889,8.74385311827212
361.993,13.0033333333333,8.15876199798198
362.217,12.4922222222222,8.19379173390127
362.441,11.9133333333333,8.03203509408554
362.666,12.5977777777778,8.48675834530379
362.89,10.4066666666667,7.96261381858857
363.115,10.0988888888889,7.28346794617275
363.339,5.16333333333333,6.74754363279477
363.563,8.69111111111111,6.78364839235303
363.788,8.74777777777778,6.49186343435251
364.012,10.4933333333333,6.5597949563666
364.236,9.37777777777777,6.12385915047137
364.461,9.50777777777778,5.72988593763174
364.685,9.31444444444443,6.23879126149837
364.909,8.80666666666667,6.02807498027603
365.133,10.7155555555556,6.82414499299301
365.358,9.15222222222221,6.91799577288948
365.582,10.2011111111111,7.52254156424584
365.806,14.3555555555555,6.70520620804447
366.03,11.9244444444445,5.69141416677319
366.254,14.6344444444444,5.83383119260337
366.479,20.1433333333333,5.85580244327135
366.703,22.2688888888889,5.31393215557238
366.927,20.4055555555556,5.65440179369496
367.151,23.1255555555556,6.50273277645497
367.375,20.01,5.95870082436898
367.599,20.8388888888889,5.19956478359574
367.823,23.4711111111111,4.92174640699508
368.047,21.49,5.61599473227534
368.271,23.1755555555555,4.78635274940324
368.495,21.5866666666667,3.50702712737847
368.719,23.4033333333333,3.49386935224646
