"wavelength","mean_emission","se_emission"
347.817,-7.10111111111111,5.15876098866522
348.042,-6.74666666666668,4.42212857827518
348.268,-4.94111111111111,3.44789722096566
348.493,-2.65222222222222,3.75371125686742
348.719,-0.177777777777777,2.89947675051711
348.944,5.66777777777778,2.03940436935083
349.17,5.96111111111111,1.35247131208185
349.395,6.58333333333333,2.29248623081831
349.621,6.21777777777778,3.21805882292898
349.846,4.91333333333333,2.62685735230543
350.071,1.92555555555556,2.83599558316775
350.297,4.45111111111111,2.88631871932802
350.522,6.76111111111111,2.6452470764052
350.747,9.06777777777778,2.57564666266404
350.973,10.3466666666667,1.35557997313587
351.198,7.03222222222222,2.1666278876852
351.423,5.93,4.20149128962454
351.649,3.59,4.54394589779712
351.874,4.98333333333333,5.22369621757962
352.099,8.40777777777778,5.44862161238267
352.324,11.0611111111111,5.32021438839934
352.55,9.11111111111111,5.0901948703583
352.775,9.39444444444445,5.66284234849609
353,5.97444444444445,6.57978318150016
353.225,1.95444444444444,6.32529009209719
353.45,-4.87666666666665,4.84758504752508
353.675,-3.35555555555556,6.06510979194204
353.9,-4.07555555555555,6.00455182865464
354.125,-5.8388888888889,5.07410993173103
354.351,-4.33888888888889,4.75298060057376
354.576,-6.7911111111111,4.35098499997192
354.801,-6.63777777777778,4.33657932711383
355.026,-3.86111111111111,4.24077079405657
355.251,-3.11222222222222,4.57195377689389
355.476,0.16888888888889,5.17740180815563
355.701,1.37777777777778,5.33743331061035
355.926,6.86555555555556,5.32139453404275
356.15,7.86,5.64999584703142
356.375,9.40999999999998,6.15630819795728
356.6,12.9566666666667,6.68818957672252
356.825,14.5777777777778,6.77445970620334
357.05,13.1733333333333,5.09701570564584
357.275,11.9511111111111,4.93810895439073
357.5,12.3644444444444,3.48376077559732
357.724,11.9344444444444,3.58417254789772
357.949,9.13555555555554,2.75763111143483
358.174,8.05444444444444,2.13618858117109
358.399,7.25888888888888,3.10834693069794
358.624,7.22444444444445,2.98087467318756
358.848,7.19777777777777,3.57929124767202
359.073,3.42,3.76640900211059
359.298,1.58,3.98311825806331
359.522,5.64222222222222,3.14307808954208
359.747,4.41888888888888,3.671092006198
359.972,10.0255555555555,4.43680605886535
360.196,8.00111111111112,4.40074871361936
360.421,11.4122222222222,3.46337449913311
360.645,12.9611111111111,4.05055776041097
360.87,17.8688888888889,2.44336186636096
361.095,14.5944444444445,2.0976836919796
361.319,13.1877777777778,2.66353691659873
361.544,13.2255555555556,1.95253844756529
361.768,9.31,3.52901020571247
361.993,9.83555555555554,3.85012523366667
362.217,7.26555555555556,4.77226755399643
362.441,4.24,5.29719756617356
362.666,4.25444444444444,4.74438590403775
362.89,1.95555555555556,4.42504694293208
363.115,-0.26,5.22976923668216
363.339,-6.42444444444446,5.72754258202228
363.563,-3.19777777777778,5.39622817838163
363.788,-3.09888888888889,5.39415288864888
364.012,-1.32888888888889,5.48790128642112
364.236,-0.647777777777777,5.27379146426927
364.461,-0.653333333333333,6.30684118082533
364.685,-1.53444444444444,5.99906039472198
364.909,-3.49555555555555,5.1364968752727
365.133,0.726666666666667,5.8103636247232
365.358,-0.917777777777779,6.5874809679877
365.582,1.33666666666667,6.27957405875577
365.806,6.24777777777778,5.79061778468627
366.03,3.34555555555556,5.6429178956371
366.254,5.56333333333333,5.45272975767979
366.479,13.2544444444444,4.21196652204542
366.703,15.4711111111111,4.54479916380645
366.927,13.2155555555555,3.71862436722838
367.151,18.2888888888889,5.20414187825171
367.375,17.2033333333333,5.18594311756025
367.599,16.15,4.66932421634437
367.823,18.9144444444444,4.0700746127109
368.047,14.2366666666667,4.36799103613827
368.271,14.9811111111111,5.29945706200484
368.495,15.1222222222222,5.85742824261379
368.719,17.0444444444444,6.08899192730323
368.943,11.0722222222222,7.04544138174808
369.167,10.0233333333333,6.89907453020766
369.391,12.3144444444444,7.66864711412607
369.615,9.53444444444446,5.86397542742927
369.839,14.7066666666667,5.51352923072373
370.062,10.8244444444444,4.55286228852797
370.286,9.59888888888889,4.78944652685398
370.51,11.4655555555556,4.60815974046414
370.734,7.62777777777779,5.17554403490852
370.958,9.73555555555556,4.33960611572099
371.181,5.78555555555556,3.62069295423024
371.405,7.52333333333332,3.42879783544033
371.629,7.59888888888888,3.72257868054155
371.853,7.07333333333333,4.67010171127036
372.076,6.92888888888889,4.81581718942265
372.3,-2.15333333333333,4.00852772864579
372.524,-3.40777777777778,4.84236894573821
372.747,-1.35444444444444,4.84021864143882
372.971,0.880000000000001,4.87148019988052
373.195,-0.0400000000000034,5.50345779554634
373.418,-0.228888888888888,6.37376530715234
373.642,-0.262222222222223,7.076667248909
373.865,0.15888888888889,6.30563872028694
374.089,3.26555555555556,5.49201856802632
374.312,0.57111111111111,4.67810518812589
374.536,2.84888888888889,3.50428652862596
374.759,13.54,4.02546092449879
374.983,19.4655555555556,4.89197318278864
375.206,18.7311111111111,5.38196939402325
375.43,15.0444444444444,6.18167577417988
375.653,19.2155555555556,5.19523936380615
375.877,19.9377777777778,4.83854318285787
376.1,19.5633333333333,5.42271362309786
376.323,17.0277777777778,6.36449673245389
376.547,15.2566666666667,5.40566844546737
376.77,12.6777777777778,5.03841448403394
376.994,8.77666666666668,5.20298721677228
377.217,1.06111111111111,6.41945885653666
377.44,-1.64888888888889,6.60716040076802
377.663,-5.41,7.00486430758268
377.887,-2.65222222222222,7.46909553355033
378.11,-2.12666666666667,6.73117059329254
378.333,-1.88666666666667,6.79806111449454
378.556,-4.59888888888889,8.33536708023445
378.78,-3.65333333333333,6.83440507060148
379.003,-2.98666666666667,5.86198677361094
379.226,-1.85777777777778,5.14467335598815
379.449,2.28888888888889,5.09639454810683
379.672,0.955555555555554,4.66218742162885
379.895,0.662222222222223,4.5485842204274
380.118,-0.735555555555554,5.59840213269344
380.341,1.98555555555555,4.97705915891378
380.564,-2.81333333333333,5.17857308855427
380.787,-2.86,5.77017310807301
381.01,-0.748888888888887,5.3337090012202
381.233,-6.8711111111111,6.00663219278914
381.456,-7.94000000000002,6.6024168006806
381.679,-5.39444444444445,6.64444711095308
381.902,-11.9388888888889,7.1568744950922
382.125,-5.94777777777778,7.16989468039411
382.348,-11.2611111111111,6.28009033673118
382.571,-9.33888888888889,5.66536033506738
382.794,-9.25999999999999,5.74628348535844
383.017,-8.86666666666667,5.23937257543837
383.24,-10.0633333333333,4.39064281461474
383.463,-12.3888888888889,3.83618614782395
383.685,-8.84555555555557,3.26727963641285
383.908,-10.48,2.73381423569475
384.131,-10.7533333333333,2.44716304514731
384.354,-1.23111111111111,1.97254381279772
384.576,-7.82444444444443,2.17134211580065
384.799,-3.24444444444444,2.38762200963964
385.022,6.77777777777778,2.94349225588733
385.245,6.19777777777778,3.58681148345656
385.467,8.63222222222222,3.42824423622744
385.69,7.84888888888888,3.86132467047447
385.913,8.91555555555556,4.47829050826799
386.135,11.55,5.01257095752965
386.358,13.1911111111111,5.5827581807652
386.58,12.1977777777778,5.8372520097727
386.803,6.60333333333333,6.83248830788674
387.025,12.1277777777778,7.05950755878193
387.248,11.5211111111111,6.76591115415848
387.47,6.43222222222222,5.35821498703651
387.693,3.85777777777778,5.88469203275496
387.915,1.84555555555555,5.0426449840947
388.138,-1.73666666666667,4.77812874203807
388.36,0.145555555555557,5.76506924433326
388.583,0.99,4.38951151405634
388.805,-0.14111111111111,4.4986629077682
389.028,1.35333333333333,4.80375157268746
389.25,-0.486666666666667,4.88207941505512
389.472,1.45333333333333,4.11983295337181
389.695,2.04555555555556,4.16479425678955
389.917,-2.39222222222222,4.65427426522745
390.139,-2.78444444444444,4.16838106456448
390.362,-6.36222222222221,4.87208657990307
390.584,-4.45333333333333,5.13441541680329
390.806,-5.39666666666668,4.71814333282436
391.028,-9.07999999999999,4.61034498669721
391.251,-5.90111111111112,4.95771879648765
391.473,-2.31888888888889,5.34846639916095
391.695,4.29888888888888,4.33565530267219
391.917,-1.31333333333333,4.41866054110042
392.139,0.135555555555557,5.08868521987593
392.362,2.02666666666668,5.81070537241997
392.584,2.50777777777777,6.90894326590533
392.806,5.96111111111112,6.95306798225838
393.028,6.4488888888889,6.48876094776709
393.25,13.5711111111111,6.44454193384926
393.472,16.5477777777778,6.55949165237451
393.694,14.6188888888889,5.75740298167399
393.916,10.1344444444444,5.01516537385612
394.138,7.74888888888889,5.66680745424381
394.36,5.14333333333334,5.58697501716613
394.582,5.21444444444444,4.63183472790609
394.804,6.96,5.28093822637811
395.026,6.68333333333333,4.86134529456517
395.248,6.95444444444444,4.23494244649165
395.47,11.2944444444444,4.19342890784776
395.692,6.91444444444445,5.30162954635826
395.913,4.57777777777778,6.55018009651926
396.135,2.99,6.29963017146297
396.357,6.00888888888889,6.98276693510887
396.579,9.78444444444443,6.51219336996703
396.801,13.4911111111111,5.5682531669751
397.022,15.3888888888889,5.01396638088749
397.244,11.4888888888889,3.66159281597516
397.466,16.08,3.57763174362545
397.688,15.8022222222222,4.08922127377177
397.909,13.8411111111111,5.31840922082868
398.131,12.4733333333333,4.94880258405994
398.353,14.2844444444445,4.65955139970516
398.574,10.3822222222222,4.22102817972261
398.796,10.3688888888889,3.38085323224121
399.018,4.55666666666667,4.14262237819014
399.239,3.56777777777778,4.07047653252813
399.461,-1.85,3.21246266373666
399.682,0.0933333333333346,3.86334580438755
399.904,-1.36111111111111,4.31981410331367
400.126,-0.405555555555556,3.94158232553221
400.347,-2.77333333333333,4.72454820473848
400.569,3.09888888888889,4.95358139034507
400.79,-0.0277777777777768,4.17216549994323
401.012,9.07777777777778,4.41300173757305
401.233,6.17444444444444,4.48784443916656
401.454,5.63888888888889,3.57194407645614
401.676,8.15666666666668,4.3338092547832
401.897,14.1611111111111,4.63518434871472
402.119,16.8355555555555,4.4402548362671
402.34,11.7733333333333,4.46848892696272
402.561,9.36,4.34201623698681
402.783,11.95,4.13625856961703
403.004,5.46333333333333,3.84968179923027
403.225,8.73444444444445,3.64887384013016
403.447,8.45777777777777,3.17476989192617
403.668,6.78666666666665,2.62528887430603
403.889,14.0166666666666,3.20952533098726
404.11,14.5155555555555,3.45218846562407
404.332,8.87777777777779,2.72104980933325
404.553,5.19444444444444,3.98393235855694
