"wavelength","mean_emission","se_emission"
347.817,-15.2966666666667,3.92892680389064
348.042,-12.8355555555556,3.18113250236302
348.268,-9.39222222222222,2.65830008692489
348.493,-5.20111111111111,2.01622077459179
348.719,-3.65444444444444,1.89919276585504
348.944,2.21,1.2660815634724
349.17,2.60555555555556,1.69064599140896
349.395,4.98111111111111,1.4513650590116
349.621,6.14888888888888,1.68532847775106
349.846,6.52444444444445,1.666266914033
350.071,7.47111111111112,2.48555958319274
350.297,11.9644444444444,3.24397323057909
350.522,13.7288888888889,2.83753377663962
350.747,15.3655555555556,3.37616574681844
350.973,16.2755555555555,2.84242235005677
351.198,13.4966666666667,2.37413860782282
351.423,11.39,2.32582110112557
351.649,10.4111111111111,2.90159815779184
351.874,11.5333333333333,2.98316972873327
352.099,13.74,3.67459471005271
352.324,16.7133333333333,4.42030518177304
352.55,14.4366666666667,4.36946427687996
352.775,16.3677777777778,5.147830914132
353,12.1066666666667,5.82269368278318
353.225,8.44888888888891,5.66587051813643
353.45,3.47888888888889,5.5536055813922
353.675,5.96555555555554,4.92258453590232
353.9,3.65444444444445,4.9333600696161
354.125,1.65888888888889,6.27693476460835
354.351,2.63555555555556,6.43531021416136
354.576,-0.303333333333332,6.30075979701903
354.801,-1.48222222222222,5.84060920477745
355.026,0.846666666666667,5.60316351766265
355.251,-0.147777777777779,4.82652704374257
355.476,2.20555555555556,4.55137613729832
355.701,2.86222222222222,4.62072343765707
355.926,6.14333333333333,5.31724805147176
356.15,5.80000000000001,5.44483848310359
356.375,9.46222222222223,5.24811806400892
356.6,12.57,4.97964929246266
356.825,15.0866666666667,5.89115395473951
357.05,14.8922222222222,5.56318541040806
357.275,13.1877777777778,5.30705514240702
357.5,12.2855555555556,4.26453049709651
357.724,12.3877777777778,3.35074385778589
357.949,11.6622222222222,2.2329887599006
358.174,12.1366666666667,2.69805487683646
358.399,11.5755555555555,3.73804828443342
358.624,12.6233333333333,3.54864743830048
358.848,12.4111111111111,3.34674524561857
359.073,7.63444444444445,4.10488477993592
359.298,4.06222222222222,3.6493243580063
359.522,8.47333333333332,4.44217737332867
359.747,7.93444444444446,5.18860820711701
359.972,11.2822222222222,5.32071422093586
360.196,10.8622222222222,4.52657109058434
360.421,12.5844444444444,5.083074140064
360.645,11.7844444444444,4.51793316837211
360.87,16.4855555555555,4.25662288082196
361.095,16.5722222222222,4.71059407013898
361.319,15.28,3.61369316884818
361.544,17.6366666666666,2.60029122546563
361.768,14.7811111111111,3.36014403711713
361.993,13.2533333333334,3.57822175791828
362.217,10.1655555555556,2.63351020402402
362.441,11.2422222222222,3.46472818557021
362.666,11.4333333333333,3.72906105486963
362.89,11.1755555555555,4.26826615950952
363.115,9.00444444444443,3.72701140879175
363.339,4.22555555555554,3.64563124340176
363.563,4.06666666666667,3.99472589992217
363.788,4.99555555555554,5.20500546808149
364.012,6.32444444444446,4.81759142833014
364.236,5.16222222222221,5.67400294423033
364.461,6.79444444444443,5.66185601405423
364.685,7.22666666666667,4.9713278197482
364.909,5.92333333333334,4.56230322640685
365.133,6.15,4.15506669279474
365.358,3.36888888888889,4.75362274314147
365.582,6.11444444444443,6.3155465811247
365.806,7.51666666666669,7.34703491382547
366.03,5.03333333333333,6.69097677583
366.254,6.71666666666667,5.33082936110214
366.479,13.16,4.50012526981287
366.703,16.1277777777778,4.89471690180715
366.927,14.4411111111111,5.42757182036841
367.151,18.9377777777778,5.05104027473153
367.375,16.2355555555556,5.12735347523609
367.599,15.8377777777778,5.90716208167892
367.823,17.0888888888889,5.47112886048871
368.047,14.3111111111111,4.6518727330586
368.271,17.48,4.77487087241669
368.495,18.6988888888889,4.16434415589794
368.719,20.9166666666667,5.09194520282581
368.943,15.5044444444445,3.86769981616295
369.167,16.2666666666667,4.74244045383361
369.391,15.7555555555556,4.9980648621667
369.615,13.82,4.72431332743137
369.839,18.7911111111111,4.26539987587974
370.062,19.2711111111111,5.0560825487656
370.286,20.1911111111111,4.26226373395856
370.51,20.65,4.19413112169793
370.734,17.4133333333333,3.94052596636538
370.958,20.6011111111111,2.78656056741079
371.181,14.4966666666666,3.59943766913453
371.405,17.66,2.76354846720817
371.629,17.5011111111111,1.67313652880309
371.853,19.7488888888889,1.07129643992506
372.076,17.0155555555556,1.31323140338627
372.3,7.22999999999999,1.17717384360168
372.524,5.88777777777777,2.18064465113013
372.747,6.58555555555555,2.43901894651683
372.971,8.10666666666667,2.45567849275123
373.195,6.76666666666667,3.4478610492789
373.418,4.52888888888889,3.4239079435749
373.642,4.53777777777779,3.85685100427455
373.865,5.35888888888888,4.05647590933782
374.089,6.87222222222223,4.46039099620757
